1,10
1,11
1,12
1,13
1,14
1,28
1,60
2,15
2,16
3,15
3,16
4,21
4,29
4,30
4,31
4,32
4,33
5,17
6,19
6,22
7,18
7,19
8,20
8,23
9,20
9,23
14,15
14,16
15,21
16,21
17,22
18,34
18,35
18,36
18,40
18,64
18,65
18,66
18,67
18,68
18,70
19,34
19,35
19,36
19,40
19,64
19,65
19,66
19,67
19,70
20,24
20,25
20,26
20,27
20,28
20,38
20,39
20,45
20,55
20,59
20,60
20,67
21,28
21,29
21,31
21,32
21,33
21,34
21,38
21,39
21,42
21,60
21,64
21,65
21,66
21,67
21,68
22,37
22,38
22,39
22,40
22,43
22,44
22,64
22,65
22,67
22,68
23,39
23,40
23,43
23,60
23,66
23,67
26,27
29,30
40,41
42,44
44,45
44,46
44,47
44,48
44,49
44,50
44,52
44,53
44,54
44,55
44,59
44,60
44,64
44,65
44,66
44,68
44,70
45,69
50,51
55,56
55,57
55,58
60,61
60,62
60,63
66,69
